tests/CP116442.gbk
         4649657 function calls (4572845 primitive calls) in 1.764 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15431    0.128    0.000    0.192    0.000 Scanner.py:233(parse_feature)
        1    0.118    0.118    0.192    0.192 InsdcIO.py:1011(_write_sequence)
    36728    0.093    0.000    0.152    0.000 InsdcIO.py:396(_write_feature_qualifier)
        3    0.086    0.029    0.334    0.111 Scanner.py:146(parse_features)
   594632    0.079    0.000    0.079    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    62537    0.073    0.000    0.073    0.000 {method 'search' of 're.Pattern' objects}
    65254    0.065    0.000    0.221    0.000 __init__.py:730(feature_qualifier)
        2    0.046    0.023    0.085    0.043 Scanner.py:1189(parse_footer)
   354603    0.045    0.000    0.058    0.000 {built-in method builtins.isinstance}
   374031    0.038    0.000    0.038    0.000 {method 'append' of 'list' objects}
360068/358528    0.035    0.000    0.036    0.000 {built-in method builtins.len}
        3    0.033    0.011    0.429    0.143 Scanner.py:408(_feed_feature_table)
     7714    0.032    0.000    0.284    0.000 InsdcIO.py:470(_write_feature)
      365    0.032    0.000    0.032    0.000 {built-in method marshal.loads}
   171557    0.032    0.000    0.032    0.000 {method 'replace' of 'str' objects}
    13753    0.030    0.000    0.070    0.000 SeqFeature.py:816(__init__)
     7716    0.028    0.000    0.074    0.000 InsdcIO.py:268(_insdc_location_string_ignoring_strand_and_subfeatures)
   201216    0.027    0.000    0.029    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
    62532    0.024    0.000    0.123    0.000 __init__.py:174(search)
   242912    0.022    0.000    0.022    0.000 {method 'startswith' of 'str' objects}
    54/52    0.021    0.000    0.024    0.000 {built-in method _imp.create_dynamic}
   185395    0.020    0.000    0.020    0.000 {method 'strip' of 'str' objects}
    13727    0.019    0.000    0.116    0.000 SeqFeature.py:628(fromstring)
    63636    0.019    0.000    0.080    0.000 __init__.py:330(_compile)
    81194    0.018    0.000    0.018    0.000 {method 'join' of 'str' objects}
    13727    0.017    0.000    0.151    0.000 __init__.py:697(location)
      508    0.015    0.000    0.027    0.000 inspect.py:895(cleandoc)
    13731    0.014    0.000    0.087    0.000 SeqFeature.py:897(fromstring)
    54/43    0.013    0.000    0.025    0.001 {built-in method _imp.exec_dynamic}
   120847    0.013    0.000    0.013    0.000 {method 'rstrip' of 'str' objects}
53198/53124    0.013    0.000    0.014    0.000 {built-in method __new__ of type object at 0x5de011e25ae0}
    50656    0.013    0.000    0.022    0.000 SeqFeature.py:1851(__new__)
 61685/12    0.011    0.000    0.856    0.071 {built-in method builtins.next}
7716/7714    0.011    0.000    0.087    0.000 InsdcIO.py:330(_insdc_location_string)
    72518    0.011    0.000    0.011    0.000 {method 'lstrip' of 'str' objects}
    34134    0.010    0.000    0.010    0.000 {method 'split' of 'str' objects}
   150362    0.010    0.000    0.010    0.000 Scanner.py:290(<genexpr>)
    52620    0.010    0.000    0.010    0.000 {method 'issuperset' of 'set' objects}
  808/144    0.010    0.000    0.029    0.000 _parser.py:511(_parse)
   104516    0.010    0.000    0.010    0.000 {built-in method builtins.min}
      167    0.010    0.000    0.014    0.000 CodonTable.py:265(list_ambiguous_codons)
      238    0.009    0.000    0.009    0.000 {built-in method builtins.eval}
    13727    0.009    0.000    0.014    0.000 __init__.py:691(feature_key)
    23150    0.009    0.000    0.019    0.000 SeqFeature.py:1866(__add__)
    62470    0.009    0.000    0.019    0.000 utils.py:43(clean_value)
     1770    0.009    0.000    0.009    0.000 {built-in method posix.stat}
  867/863    0.009    0.000    0.031    0.000 {built-in method builtins.__build_class__}
      365    0.009    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:694(_classify_pyc)
      365    0.008    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:779(_compile_bytecode)
    73525    0.008    0.000    0.008    0.000 {method 'find' of 'str' objects}
    42962    0.008    0.000    0.014    0.000 <frozen abc>:117(__instancecheck__)
 1493/132    0.008    0.000    0.017    0.000 _compiler.py:37(_compile)
    15432    0.008    0.000    0.021    0.000 InsdcIO.py:235(_insdc_feature_position_string)
    65983    0.007    0.000    0.007    0.000 {method 'rjust' of 'str' objects}
      854    0.007    0.000    0.007    0.000 {method 'findall' of 're.Pattern' objects}
    13727    0.006    0.000    0.011    0.000 __init__.py:243(_clean_location)
    42962    0.006    0.000    0.006    0.000 {built-in method _abc._abc_instancecheck}
      739    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap>:372(release)
      365    0.006    0.000    0.006    0.000 {method 'read' of '_io.BufferedReader' objects}
      739    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:124(setdefault)
    73804    0.005    0.000    0.005    0.000 SeqFeature.py:1254(start)
    73804    0.005    0.000    0.005    0.000 SeqFeature.py:1263(end)
    14129    0.005    0.000    0.005    0.000 {method 'lower' of 'str' objects}
  136/127    0.005    0.000    0.009    0.000 inspect.py:2500(_signature_from_callable)
    18397    0.004    0.000    0.005    0.000 {built-in method builtins.getattr}
        1    0.004    0.004    0.005    0.005 threading.py:1(<module>)
      365    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
        1    0.004    0.004    0.015    0.015 numeric.py:1(<module>)
      681    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1621(find_spec)
    29420    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     1590    0.004    0.000    0.008    0.000 _docscrape.py:168(_is_at_section)
     1362    0.004    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
    13758    0.004    0.000    0.004    0.000 {method 'upper' of 'str' objects}
    27483    0.004    0.000    0.004    0.000 SeqFeature.py:998(_set_strand)
    30872    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
    11181    0.003    0.000    0.005    0.000 _parser.py:167(__getitem__)
     3617    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
  3713/95    0.003    0.000    0.006    0.000 copy.py:119(deepcopy)
      542    0.003    0.000    0.004    0.000 _compiler.py:241(_optimize_charset)
     4226    0.003    0.000    0.008    0.000 utils.py:57(_clean_translation)
     1834    0.003    0.000    0.006    0.000 _docscrape.py:67(read_to_condition)
      739    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap>:304(acquire)
    13727    0.003    0.000    0.003    0.000 SeqFeature.py:180(__init__)
    374/1    0.002    0.000    1.765    1.765 {built-in method builtins.exec}
     8674    0.002    0.000    0.002    0.000 _parser.py:239(__next)
      365    0.002    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:1090(get_code)
 1785/533    0.002    0.000    0.003    0.000 _parser.py:177(getwidth)
    444/6    0.002    0.000    0.428    0.071 <frozen importlib._bootstrap>:1349(_find_and_load)
