         16423056 function calls (16281310 primitive calls) in 10.378 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    34333    2.821    0.000    2.986    0.000 helpers.py:447(rentro_cluster)
    15898    1.368    0.000    1.443    0.000 helpers.py:487(rentrotot_cluster_cluster)
    73207    0.756    0.000    0.756    0.000 {method 'intersection' of 'set' objects}
        1    0.423    0.423    0.547    0.547 helpers.py:78(compute_gene_codonfreq_and_aminofreq)
        1    0.409    0.409    0.685    0.685 helpers.py:175(sanitize_genome)
  4818226    0.357    0.000    0.357    0.000 {method 'append' of 'list' objects}
  3410706    0.267    0.000    0.267    0.000 {built-in method math.log}
    30859    0.251    0.000    0.388    0.000 Scanner.py:233(parse_feature)
     2537    0.223    0.000    0.235    0.000 helpers.py:408(rentrotot_gene_cluster)
        1    0.212    0.212    0.212    0.212 helpers.py:57(genome_to_iy)
     2537    0.210    0.000    0.222    0.000 helpers.py:467(rentro_gene)
        5    0.177    0.035    0.325    0.065 Scanner.py:1189(parse_footer)
        5    0.164    0.033    0.667    0.133 Scanner.py:146(parse_features)
   141512    0.161    0.000    0.161    0.000 {method 'search' of 're.Pattern' objects}
   146932    0.139    0.000    0.476    0.000 __init__.py:730(feature_qualifier)
        1    0.135    0.135    9.807    9.807 jscb_new.py:11(main)
        1    0.111    0.111    0.181    0.181 InsdcIO.py:1011(_write_sequence)
        5    0.095    0.019    0.955    0.191 Scanner.py:408(_feed_feature_table)
    36728    0.085    0.000    0.142    0.000 InsdcIO.py:396(_write_feature_qualifier)
   597774    0.078    0.000    0.103    0.000 {built-in method builtins.isinstance}
   599750    0.076    0.000    0.076    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   329580    0.071    0.000    0.071    0.000 {method 'replace' of 'str' objects}
   534205    0.071    0.000    0.076    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
        1    0.068    0.068    5.021    5.021 helpers.py:185(cluster_jscb)
    30894    0.066    0.000    0.157    0.000 SeqFeature.py:816(__init__)
      644    0.062    0.000    0.062    0.000 {built-in method marshal.loads}
782927/781191    0.062    0.000    0.062    0.000 {built-in method builtins.len}
   622980    0.055    0.000    0.055    0.000 {method 'startswith' of 'str' objects}
   141487    0.050    0.000    0.268    0.000 __init__.py:174(search)
   164565    0.047    0.000    0.047    0.000 {method 'join' of 'str' objects}
    50969    0.044    0.000    0.044    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   351498    0.043    0.000    0.043    0.000 {method 'strip' of 'str' objects}
    30859    0.040    0.000    0.256    0.000 SeqFeature.py:628(fromstring)
   142880    0.040    0.000    0.136    0.000 __init__.py:330(_compile)
    30859    0.039    0.000    0.332    0.000 __init__.py:697(location)
   372818    0.037    0.000    0.037    0.000 {method 'rstrip' of 'str' objects}
    50760    0.032    0.000    0.082    0.000 fromnumeric.py:66(_wrapreduction)
     7714    0.032    0.000    0.266    0.000 InsdcIO.py:470(_write_feature)
    30867    0.029    0.000    0.194    0.000 SeqFeature.py:897(fromstring)
123264/65    0.029    0.000    1.970    0.030 {built-in method builtins.next}
    50760    0.027    0.000    0.113    0.000 fromnumeric.py:2304(sum)
     7716    0.026    0.000    0.068    0.000 InsdcIO.py:268(_insdc_location_string_ignoring_strand_and_subfeatures)
   105/65    0.025    0.000    0.061    0.001 {built-in method _imp.exec_dynamic}
