DEBUG stats: genes_all=2538 genes_used=2538 mapped=2538 unmapped=0 nclusters=15 native_cluster=1 native_size=1705
         14486965 function calls (14345253 primitive calls) in 17.989 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1240    9.863    0.008   13.104    0.011 helpers.py:275(_divgn_cluster_vs_many_gpu)
    74400    1.376    0.000    1.376    0.000 {method 'sum' of 'cupy._core.core._ndarray_base' objects}
    31000    1.215    0.000    1.265    0.000 {built-in method cupy._core.core.array}
        1    0.385    0.385    0.650    0.650 helpers.py:265(sanitize_genome)
        1    0.342    0.342    0.453    0.453 helpers.py:97(compute_gene_codonfreq_and_aminofreq)
  4819566    0.327    0.000    0.327    0.000 {method 'append' of 'list' objects}
    30859    0.227    0.000    0.344    0.000 Scanner.py:233(parse_feature)
     2537    0.200    0.000    0.211    0.000 helpers.py:595(rentrotot_gene_cluster)
     2539    0.192    0.000    0.203    0.000 helpers.py:634(rentro_cluster)
     2537    0.191    0.000    0.202    0.000 helpers.py:654(rentro_gene)
   248000    0.179    0.000    0.353    0.000 numeric.py:1975(isscalar)
        5    0.173    0.035    0.318    0.064 Scanner.py:1189(parse_footer)
        1    0.171    0.171    0.171    0.171 helpers.py:76(genome_to_iy)
   990729    0.168    0.000    0.268    0.000 {built-in method builtins.isinstance}
        5    0.154    0.031    0.601    0.120 Scanner.py:146(parse_features)
   141526    0.151    0.000    0.151    0.000 {method 'search' of 're.Pattern' objects}
   146932    0.123    0.000    0.432    0.000 __init__.py:730(feature_qualifier)
        1    0.116    0.116    0.186    0.186 InsdcIO.py:1011(_write_sequence)
    36728    0.086    0.000    0.142    0.000 InsdcIO.py:396(_write_feature_qualifier)
   599750    0.075    0.000    0.075    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        5    0.072    0.014    0.852    0.170 Scanner.py:408(_feed_feature_table)
     1240    0.069    0.000    0.072    0.000 {method 'get' of 'cupy._core.core._ndarray_base' objects}
   534205    0.067    0.000    0.072    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
   329450    0.066    0.000    0.066    0.000 {method 'replace' of 'str' objects}
        1    0.066    0.066   13.873   13.873 helpers.py:318(cluster_jscb)
    30894    0.062    0.000    0.143    0.000 SeqFeature.py:816(__init__)
    74400    0.058    0.000    1.459    0.000 sumprod.py:13(sum)
   616999    0.053    0.000    0.053    0.000 {method 'startswith' of 'str' objects}
   226075    0.050    0.000    0.050    0.000 {built-in method _abc._abc_instancecheck}
660136/658446    0.050    0.000    0.050    0.000 {built-in method builtins.len}
     3148    0.050    0.000    0.050    0.000 {built-in method posix.stat}
   164269    0.049    0.000    0.050    0.000 {method 'join' of 'str' objects}
   226075    0.049    0.000    0.100    0.000 <frozen abc>:117(__instancecheck__)
   141500    0.047    0.000    0.250    0.000 __init__.py:174(search)
        1    0.046    0.046    0.046    0.046 {built-in method cupy_backends.cuda.api.runtime.getDeviceCount}
    50969    0.043    0.000    0.043    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   372035    0.043    0.000    0.043    0.000 {method 'rstrip' of 'str' objects}
    32240    0.042    0.000    0.042    0.000 _internal.py:263(__init__)
       25    0.041    0.002    0.041    0.002 {built-in method _ctypes.dlopen}
      607    0.039    0.000    0.039    0.000 {built-in method marshal.loads}
   142810    0.038    0.000    0.095    0.000 __init__.py:330(_compile)
    30859    0.038    0.000    0.234    0.000 SeqFeature.py:628(fromstring)
   485658    0.036    0.000    0.036    0.000 {built-in method math.log}
   352108    0.036    0.000    0.036    0.000 {method 'strip' of 'str' objects}
  110/108    0.033    0.000    0.034    0.000 {built-in method _imp.create_dynamic}
    30859    0.033    0.000    0.301    0.000 __init__.py:697(location)
     7714    0.030    0.000    0.262    0.000 InsdcIO.py:470(_write_feature)
    50760    0.029    0.000    0.077    0.000 fromnumeric.py:66(_wrapreduction)
    30867    0.027    0.000    0.177    0.000 SeqFeature.py:897(fromstring)
     7716    0.026    0.000    0.068    0.000 InsdcIO.py:268(_insdc_location_string_ignoring_strand_and_subfeatures)
    50760    0.026    0.000    0.107    0.000 fromnumeric.py:2304(sum)
    18435    0.025    0.000    0.028    0.000 helpers.py:34(sig)
    74400    0.025    0.000    0.025    0.000 {built-in method cupy._core._fusion_thread_local.is_fusing}
123240/41    0.021    0.000    1.795    0.044 {built-in method builtins.next}
   109/51    0.020    0.000    0.106    0.002 {built-in method _imp.exec_dynamic}
   300698    0.019    0.000    0.019    0.000 Scanner.py:290(<genexpr>)
    84938    0.018    0.000    0.030    0.000 SeqFeature.py:1851(__new__)
    31000    0.017    0.000    1.282    0.000 from_data.py:59(asarray)
    76357    0.017    0.000    0.017    0.000 {method 'split' of 'str' objects}
      629    0.017    0.000    0.017    0.000 {method 'read' of '_io.BufferedReader' objects}
   141364    0.017    0.000    0.031    0.000 utils.py:43(clean_value)
    30859    0.016    0.000    0.025    0.000 __init__.py:691(feature_key)
88647/88563    0.016    0.000    0.017    0.000 {built-in method __new__ of type object at 0x621645b8bae0}
   147010    0.015    0.000    0.015    0.000 {method 'find' of 'str' objects}
     2480    0.013    0.000    0.013    0.000 {method 'memset_async' of 'cupy.cuda.memory.MemoryPointer' objects}
    30859    0.013    0.000    0.022    0.000 __init__.py:243(_clean_location)
        1    0.013    0.013   17.440   17.440 jscb.py:6(main)
     2480    0.012    0.000    0.026    0.000 basic.py:233(zeros)
    72823    0.012    0.000    0.012    0.000 {method 'lstrip' of 'str' objects}
        1    0.011    0.011    1.119    1.119 helpers.py:235(load_from_genbank)
      511    0.011    0.000    0.021    0.000 inspect.py:895(cleandoc)
    32240    0.010    0.000    0.010    0.000 _internal.py:317(data)
 1003/998    0.010    0.000    0.031    0.000 {built-in method builtins.__build_class__}
    52620    0.010    0.000    0.010    0.000 {method 'issuperset' of 'set' objects}
      167    0.010    0.000    0.013    0.000 CodonTable.py:265(list_ambiguous_codons)
    30901    0.009    0.000    0.009    0.000 {method 'upper' of 'str' objects}
7716/7714    0.009    0.000    0.079    0.000 InsdcIO.py:330(_insdc_location_string)
    70006    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
   120723    0.009    0.000    0.009    0.000 SeqFeature.py:1254(start)
   104979    0.008    0.000    0.008    0.000 {built-in method builtins.min}
        1    0.008    0.008    0.008    0.008 {built-in method cupy_backends.cuda.libs.nvrtc.compileProgram}
  869/168    0.008    0.000    0.022    0.000 _parser.py:511(_parse)
        9    0.008    0.001    1.791    0.199 Scanner.py:432(feed)
    23150    0.008    0.000    0.016    0.000 SeqFeature.py:1866(__add__)
   120723    0.008    0.000    0.008    0.000 SeqFeature.py:1263(end)
    61761    0.007    0.000    0.007    0.000 SeqFeature.py:998(_set_strand)
    63875    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
    61735    0.007    0.000    0.007    0.000 {method 'count' of 'str' objects}
    31379    0.007    0.000    0.007    0.000 {method 'lower' of 'str' objects}
    15432    0.007    0.000    0.018    0.000 InsdcIO.py:235(_insdc_feature_position_string)
    65983    0.007    0.000    0.007    0.000 {method 'rjust' of 'str' objects}
    26922    0.006    0.000    0.007    0.000 {built-in method builtins.getattr}
 1618/155    0.006    0.000    0.014    0.000 _compiler.py:37(_compile)
      607    0.006    0.000    0.006    0.000 {built-in method _io.open_code}
      242    0.006    0.000    0.006    0.000 {built-in method builtins.eval}
    627/1    0.006    0.000   17.990   17.990 {built-in method builtins.exec}
    757/4    0.006    0.000    0.570    0.142 <frozen importlib._bootstrap>:1349(_find_and_load)
     1024    0.006    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1621(find_spec)
     2329    0.005    0.000    0.006    0.000 helpers.py:370(add_gene)
    30859    0.005    0.000    0.005    0.000 SeqFeature.py:180(__init__)
     1805    0.005    0.000    0.016    0.000 <frozen importlib._bootstrap>:304(acquire)
       99    0.005    0.000    1.247    0.013 __init__.py:1(<module>)
       21    0.005    0.000    0.005    0.000 {method 'load' of 'cupy.cuda.function.Module' objects}
        1    0.004    0.004    0.445    0.445 helpers.py:176(build_genomic_island_gene_map)
     9464    0.004    0.000    0.011    0.000 utils.py:57(_clean_translation)
        5    0.004    0.001    0.004    0.001 Seq.py:2040(__init__)
     1639    0.004    0.000    0.009    0.000 _docscrape.py:168(_is_at_section)
     5425    0.004    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     2537    0.004    0.000    0.620    0.000 helpers.py:580(divgn2_gene_cluster)
     1487    0.004    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
    50760    0.004    0.000    0.004    0.000 fromnumeric.py:2299(_sum_dispatcher)
      607    0.003    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:779(_compile_bytecode)
     1805    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:372(release)
  3827/98    0.003    0.000    0.007    0.000 copy.py:119(deepcopy)
      607    0.003    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:1090(get_code)
      747    0.003    0.000    0.049    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    23876    0.003    0.000    0.003    0.000 SeqFeature.py:1244(parts)
     1900    0.003    0.000    0.007    0.000 _docscrape.py:67(read_to_condition)
      885    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
    12225    0.003    0.000    0.004    0.000 _parser.py:167(__getitem__)
        1    0.003    0.003    0.455    0.455 helpers.py:196(build_genomic_island_contig_details)
     1215    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
        1    0.003    0.003   17.990   17.990 jscb.py:1(<module>)
     3759    0.002    0.000    0.004    0.000 SeqFeature.py:1010(__str__)
    16152    0.002    0.000    0.002    0.000 {method 'reverse' of 'list' objects}
      582    0.002    0.000    0.003    0.000 _compiler.py:241(_optimize_charset)
     4329    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
     1805    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    751/4    0.002    0.000    0.570    0.142 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     1805    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:124(setdefault)
      128    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      254    0.002    0.000    0.011    0.000 typing.py:1438(__init__)
    32663    0.002    0.000    0.002    0.000 SeqFeature.py:994(_get_strand)
     4329    0.002    0.000    0.005    0.000 <frozen codecs>:322(decode)
      265    0.002    0.000    0.005    0.000 typing.py:260(_collect_type_parameters)
        1    0.002    0.002    0.450    0.450 InsdcIO.py:1038(write_record)
      728    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      885    0.002    0.000    0.010    0.000 textwrap.py:419(dedent)
      718    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:830(spec_from_file_location)
       64    0.002    0.000    0.002    0.000 {built-in method _io.open}
      523    0.002    0.000    0.003    0.000 functools.py:36(update_wrapper)
 1924/570    0.002    0.000    0.002    0.000 _parser.py:177(getwidth)
   727/14    0.002    0.000    0.569    0.041 <frozen importlib._bootstrap>:911(_load_unlocked)
   1829/9    0.002    0.000    0.569    0.063 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     7714    0.002    0.000    0.002    0.000 InsdcIO.py:452(_wrap_location)
        3    0.002    0.001    0.002    0.001 {method 'close' of '_io.TextIOWrapper' objects}
      633    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     3181    0.002    0.000    0.003    0.000 _docscrape.py:57(seek_next_non_empty_line)
       44    0.002    0.000    0.002    0.000 {built-in method _hashlib.openssl_sha1}
