         14070320 function calls (13931903 primitive calls) in 6.447 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15898    1.302    0.000    1.373    0.000 helpers.py:576(rentrotot_cluster_cluster)
        1    0.400    0.400    0.673    0.673 helpers.py:247(sanitize_genome)
  4813857    0.334    0.000    0.334    0.000 {method 'append' of 'list' objects}
        1    0.327    0.327    0.432    0.432 helpers.py:79(compute_gene_codonfreq_and_aminofreq)
     2940    0.225    0.000    0.238    0.000 helpers.py:536(rentro_cluster)
     2537    0.206    0.000    0.217    0.000 helpers.py:497(rentrotot_gene_cluster)
    30859    0.201    0.000    0.319    0.000 Scanner.py:233(parse_feature)
        1    0.200    0.200    0.201    0.201 helpers.py:58(genome_to_iy)
     2537    0.196    0.000    0.206    0.000 helpers.py:556(rentro_gene)
        5    0.171    0.034    0.314    0.063 Scanner.py:1189(parse_footer)
    54/52    0.164    0.003    0.167    0.003 {built-in method _imp.create_dynamic}
        5    0.158    0.032    0.585    0.117 Scanner.py:146(parse_features)
   141492    0.157    0.000    0.157    0.000 {method 'search' of 're.Pattern' objects}
   146932    0.127    0.000    0.459    0.000 __init__.py:730(feature_qualifier)
        1    0.113    0.113    0.185    0.185 InsdcIO.py:1011(_write_sequence)
      367    0.113    0.000    0.113    0.000 {method 'read' of '_io.BufferedReader' objects}
  1479836    0.107    0.000    0.107    0.000 {built-in method math.log}
   587693    0.097    0.000    0.121    0.000 {built-in method builtins.isinstance}
        5    0.086    0.017    0.935    0.187 Scanner.py:408(_feed_feature_table)
        1    0.085    0.085    2.153    2.153 helpers.py:257(cluster_jscb)
    36728    0.084    0.000    0.140    0.000 InsdcIO.py:396(_write_feature_qualifier)
   599750    0.078    0.000    0.078    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   534205    0.071    0.000    0.075    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
   329381    0.066    0.000    0.066    0.000 {method 'replace' of 'str' objects}
    30894    0.065    0.000    0.176    0.000 SeqFeature.py:816(__init__)
   141487    0.056    0.000    0.266    0.000 __init__.py:174(search)
   615587    0.054    0.000    0.054    0.000 {method 'startswith' of 'str' objects}
653119/651560    0.048    0.000    0.049    0.000 {built-in method builtins.len}
   161683    0.045    0.000    0.046    0.000 {method 'join' of 'str' objects}
    50969    0.041    0.000    0.041    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    30859    0.039    0.000    0.271    0.000 SeqFeature.py:628(fromstring)
   142604    0.038    0.000    0.088    0.000 __init__.py:330(_compile)
   351426    0.037    0.000    0.037    0.000 {method 'strip' of 'str' objects}
   367944    0.035    0.000    0.035    0.000 {method 'rstrip' of 'str' objects}
    30859    0.034    0.000    0.341    0.000 __init__.py:697(location)
      367    0.033    0.000    0.033    0.000 {built-in method marshal.loads}
     7714    0.030    0.000    0.262    0.000 InsdcIO.py:470(_write_feature)
    50760    0.028    0.000    0.073    0.000 fromnumeric.py:66(_wrapreduction)
    30867    0.028    0.000    0.211    0.000 SeqFeature.py:897(fromstring)
    54/40    0.027    0.001    0.087    0.002 {built-in method _imp.exec_dynamic}
     7716    0.026    0.000    0.068    0.000 InsdcIO.py:268(_insdc_location_string_ignoring_strand_and_subfeatures)
    50760    0.025    0.000    0.101    0.000 fromnumeric.py:2304(sum)
123216/17    0.020    0.000    1.855    0.109 {built-in method builtins.next}
    18435    0.020    0.000    0.021    0.000 helpers.py:16(sig)
   300698    0.020    0.000    0.020    0.000 Scanner.py:290(<genexpr>)
    76255    0.019    0.000    0.019    0.000 {method 'split' of 'str' objects}
    84938    0.018    0.000    0.030    0.000 SeqFeature.py:1851(__new__)
    30859    0.018    0.000    0.028    0.000 __init__.py:691(feature_key)
   141364    0.018    0.000    0.035    0.000 utils.py:43(clean_value)
   147008    0.015    0.000    0.015    0.000 {method 'find' of 'str' objects}
87495/87421    0.015    0.000    0.016    0.000 {built-in method __new__ of type object at 0x58a8e41a2ae0}
        1    0.014    0.014    5.813    5.813 jscb_new.py:6(main)
    77252    0.013    0.000    0.023    0.000 <frozen abc>:117(__instancecheck__)
    30859    0.013    0.000    0.023    0.000 __init__.py:243(_clean_location)
       61    0.012    0.000    0.012    0.000 {built-in method posix.listdir}
    77252    0.010    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
7716/7714    0.010    0.000    0.080    0.000 InsdcIO.py:330(_insdc_location_string)
        1    0.010    0.010    1.158    1.158 helpers.py:217(load_from_genbank)
    72521    0.010    0.000    0.010    0.000 {method 'lstrip' of 'str' objects}
    30901    0.009    0.000    0.009    0.000 {method 'upper' of 'str' objects}
    52620    0.009    0.000    0.009    0.000 {method 'issuperset' of 'set' objects}
   120723    0.009    0.000    0.009    0.000 SeqFeature.py:1254(start)
    68299    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
      167    0.009    0.000    0.013    0.000 CodonTable.py:265(list_ambiguous_codons)
   104556    0.008    0.000    0.008    0.000 {built-in method builtins.min}
    23150    0.008    0.000    0.016    0.000 SeqFeature.py:1866(__add__)
      508    0.008    0.000    0.015    0.000 inspect.py:895(cleandoc)
   120723    0.008    0.000    0.008    0.000 SeqFeature.py:1263(end)
        9    0.008    0.001    1.854    0.206 Scanner.py:432(feed)
  867/863    0.008    0.000    0.026    0.000 {built-in method builtins.__build_class__}
    61761    0.007    0.000    0.007    0.000 SeqFeature.py:998(_set_strand)
    15432    0.007    0.000    0.018    0.000 InsdcIO.py:235(_insdc_feature_position_string)
  816/150    0.007    0.000    0.018    0.000 _parser.py:511(_parse)
    31270    0.007    0.000    0.007    0.000 {method 'lower' of 'str' objects}
