tests/CP116442.gbk
         16645481 function calls (16517950 primitive calls) in 6.637 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    73207    0.758    0.000    0.758    0.000 {method 'intersection' of 'set' objects}
    34354    0.504    0.000    0.654    0.000 jscb_old.py:297(rentro_cluster)
        1    0.483    0.483    0.533    0.533 jscb_old.py:218(compute_gene_codonfreq_and_aminofreq)
        1    0.453    0.453    0.790    0.790 jscb_old.py:634(sanitize_genome)
  4790716    0.406    0.000    0.406    0.000 {method 'append' of 'list' objects}
  3469959    0.253    0.000    0.253    0.000 {built-in method math.log}
    30859    0.250    0.000    0.388    0.000 Scanner.py:233(parse_feature)
    15898    0.248    0.000    0.321    0.000 jscb_old.py:337(rentrotot_cluster_cluster)
        5    0.201    0.040    0.365    0.073 Scanner.py:1189(parse_footer)
   141487    0.182    0.000    0.182    0.000 {method 'search' of 're.Pattern' objects}
        5    0.179    0.036    0.691    0.138 Scanner.py:146(parse_features)
   146932    0.160    0.000    0.543    0.000 __init__.py:730(feature_qualifier)
        1    0.142    0.142    6.371    6.371 jscb_old.py:756(main)
        1    0.134    0.134    0.221    0.221 InsdcIO.py:1011(_write_sequence)
        1    0.128    0.128    0.128    0.128 jscb_old.py:192(genome_to_iy)
    36728    0.103    0.000    0.170    0.000 InsdcIO.py:396(_write_feature_qualifier)
   518572    0.101    0.000    0.129    0.000 {built-in method builtins.isinstance}
   599750    0.097    0.000    0.097    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        5    0.089    0.018    1.126    0.225 Scanner.py:408(_feed_feature_table)
   534205    0.081    0.000    0.088    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
   329238    0.080    0.000    0.080    0.000 {method 'replace' of 'str' objects}
    30894    0.077    0.000    0.200    0.000 SeqFeature.py:816(__init__)
678415/678108    0.061    0.000    0.061    0.000 {built-in method builtins.len}
    30859    0.061    0.000    0.072    0.000 __init__.py:691(feature_key)
   601890    0.059    0.000    0.059    0.000 {method 'startswith' of 'str' objects}
   141487    0.056    0.000    0.302    0.000 __init__.py:174(search)
   695751    0.050    0.000    0.050    0.000 jscb_old.py:203(codon_index_from_iy)
   157130    0.050    0.000    0.050    0.000 {method 'join' of 'str' objects}
    30859    0.045    0.000    0.312    0.000 SeqFeature.py:628(fromstring)
   141685    0.044    0.000    0.075    0.000 __init__.py:330(_compile)
    16101    0.043    0.000    0.075    0.000 jscb_old.py:75(_gcf)
    30859    0.041    0.000    0.395    0.000 __init__.py:697(location)
   364980    0.040    0.000    0.040    0.000 {method 'rstrip' of 'str' objects}
   332604    0.039    0.000    0.039    0.000 {method 'strip' of 'str' objects}
     2558    0.039    0.000    0.051    0.000 jscb_old.py:361(rentrotot_gene_cluster)
     2558    0.037    0.000    0.048    0.000 jscb_old.py:317(rentro_gene)
     7714    0.037    0.000    0.316    0.000 InsdcIO.py:470(_write_feature)
    30867    0.036    0.000    0.245    0.000 SeqFeature.py:897(fromstring)
     7716    0.030    0.000    0.081    0.000 InsdcIO.py:268(_insdc_location_string_ignoring_strand_and_subfeatures)
      208    0.025    0.000    0.025    0.000 {built-in method marshal.loads}
    74426    0.025    0.000    0.025    0.000 {method 'split' of 'str' objects}
 123208/9    0.024    0.000    2.208    0.245 {built-in method builtins.next}
   300698    0.023    0.000    0.023    0.000 Scanner.py:290(<genexpr>)
    84938    0.022    0.000    0.037    0.000 SeqFeature.py:1851(__new__)
   141364    0.022    0.000    0.045    0.000 utils.py:43(clean_value)
   284224    0.020    0.000    0.020    0.000 {built-in method builtins.abs}
   146987    0.018    0.000    0.018    0.000 {method 'find' of 'str' objects}
        1    0.017    0.017    6.637    6.637 jscb_old.py:1(<module>)
86314/86305    0.017    0.000    0.017    0.000 {built-in method __new__ of type object at 0x63158a9a7ae0}
