clus_id	start	end
GI-1	33693	77056
GI-2	85546	107910
GI-3	420967	475438
GI-4	477065	492473
GI-5	856878	865007
GI-6	868462	886899
GI-7	916042	1020363
GI-8	1112031	1152056
GI-9	1321528	1419355
GI-10	2095697	2148702
