locus_tag	cluster_id	cluster_size	gene_length
PL332_00005	1	1705	1146
PL332_00010	1	1705	1077
PL332_00015	1	1705	2466
PL332_00020	1	1705	555
PL332_00025	1	1705	957
PL332_00030	1	1705	984
PL332_00035	2	1	366
PL332_00040	1	1705	597
PL332_00045	1	1705	690
PL332_00050	1	1705	141
PL332_00055	1	1705	1302
PL332_00060	1	1705	1827
PL332_00065	1	1705	1287
PL332_00070	1	1705	729
PL332_00075	1	1705	888
PL332_00105	1	1705	2682
PL332_00110	1	1705	1098
PL332_00115	1	1705	375
PL332_00120	1	1705	1110
PL332_00125	1	1705	819
PL332_00130	1	1705	651
PL332_00135	1	1705	1188
PL332_00140	1	1705	801
PL332_00145	1	1705	120
PL332_00150	1	1705	555
PL332_00155	1	1705	243
PL332_00160	1	1705	534
PL332_00165	1	1705	1032
PL332_00170	1	1705	360
PL332_00175	1	1705	735
PL332_00180	1	1705	156
PL332_00185	1	1705	456
PL332_00190	1	1705	1170
PL332_00195	1	1705	1263
PL332_00200	1	1705	837
PL332_00205	1	1705	201
PL332_00210	1	1705	717
PL332_00215	1	1705	600
PL332_00220	1	1705	891
PL332_00225	1	1705	642
PL332_00230	1	1705	933
PL332_00235	1	1705	1341
PL332_00240	1	1705	468
PL332_00245	1	1705	1053
PL332_00250	1	1705	630
PL332_00255	1	1705	1305
PL332_00260	1	1705	1386
PL332_00265	1	1705	681
PL332_00270	1	1705	1263
PL332_00275	1	1705	1110
PL332_00280	1	1705	750
PL332_00285	1	1705	1539
PL332_00290	1	1705	918
PL332_00295	1	1705	1362
PL332_00300	1	1705	513
PL332_00305	1	1705	447
PL332_00310	1	1705	1119
PL332_00315	1	1705	1221
PL332_00320	1	1705	477
PL332_00325	1	1705	1212
PL332_00330	1	1705	846
PL332_00335	1	1705	441
PL332_00340	1	1705	273
PL332_00345	1	1705	180
PL332_00350	1	1705	417
PL332_00355	1	1705	756
PL332_00360	1	1705	708
PL332_00365	1	1705	669
PL332_00370	1	1705	831
PL332_00375	1	1705	1365
PL332_00380	1	1705	552
PL332_00385	1	1705	537
PL332_00390	1	1705	1575
PL332_00395	1	1705	3321
PL332_00400	1	1705	1341
PL332_00405	1	1705	579
PL332_00410	1	1705	792
PL332_00415	1	1705	1008
PL332_00420	1	1705	1155
PL332_00425	1	1705	723
PL332_00430	1	1705	963
PL332_00435	1	1705	543
PL332_00440	1	1705	909
PL332_00445	1	1705	435
PL332_00450	1	1705	822
PL332_00455	1	1705	204
PL332_00460	1	1705	942
PL332_00465	1	1705	1095
PL332_00470	1	1705	852
PL332_00475	1	1705	1260
PL332_00480	1	1705	1176
PL332_00485	1	1705	900
PL332_00490	1	1705	270
PL332_00495	1	1705	363
PL332_00500	1	1705	1464
PL332_00505	1	1705	1335
PL332_00510	1	1705	654
PL332_00515	1	1705	765
PL332_00520	1	1705	300
PL332_00525	1	1705	978
PL332_00530	1	1705	1947
PL332_00535	1	1705	540
PL332_00540	1	1705	411
PL332_00545	1	1705	648
PL332_00550	1	1705	765
PL332_00555	1	1705	330
PL332_00560	1	1705	690
PL332_00565	1	1705	1965
PL332_00570	3	92	897
PL332_00575	1	1705	600
PL332_00580	1	1705	339
PL332_00585	1	1705	684
PL332_00590	1	1705	1080
PL332_00595	1	1705	579
PL332_00600	1	1705	321
PL332_00605	1	1705	687
PL332_00610	1	1705	546
PL332_00615	1	1705	1440
PL332_00620	1	1705	1446
PL332_00625	1	1705	624
PL332_00630	1	1705	870
PL332_00635	1	1705	1296
PL332_00640	1	1705	825
PL332_00645	1	1705	1242
PL332_00650	1	1705	918
PL332_00655	1	1705	885
PL332_00660	1	1705	741
PL332_00665	1	1705	390
PL332_00670	1	1705	549
PL332_00675	1	1705	354
PL332_00680	1	1705	216
PL332_00685	1	1705	333
PL332_00690	1	1705	555
PL332_00695	1	1705	954
PL332_00700	1	1705	1875
PL332_00705	1	1705	441
PL332_00710	1	1705	693
PL332_00715	1	1705	240
PL332_00720	1	1705	687
PL332_00725	1	1705	1002
PL332_00730	1	1705	756
PL332_00735	1	1705	948
PL332_00740	1	1705	387
PL332_00745	1	1705	309
PL332_00750	1	1705	549
PL332_00755	1	1705	729
PL332_00760	1	1705	615
PL332_00765	1	1705	381
PL332_00770	1	1705	429
PL332_00775	1	1705	1512
PL332_00780	1	1705	126
PL332_00785	1	1705	1455
PL332_00790	1	1705	762
PL332_00795	1	1705	2346
PL332_00800	1	1705	2187
PL332_00805	1	1705	1275
PL332_00810	1	1705	954
PL332_00815	1	1705	789
PL332_00820	1	1705	378
PL332_00825	1	1705	690
PL332_00830	1	1705	396
PL332_00835	1	1705	192
PL332_00840	1	1705	171
PL332_00845	1	1705	369
PL332_00850	1	1705	1206
PL332_00855	1	1705	3156
PL332_00860	1	1705	954
PL332_00865	1	1705	336
PL332_00870	1	1705	945
PL332_00875	1	1705	879
PL332_00880	1	1705	1416
PL332_00885	1	1705	297
PL332_00890	1	1705	999
PL332_00895	1	1705	921
PL332_00900	1	1705	330
PL332_00905	1	1705	1497
PL332_00910	1	1705	1398
PL332_00915	1	1705	1116
PL332_00920	1	1705	2553
PL332_00925	1	1705	525
PL332_00930	1	1705	567
PL332_00935	1	1705	873
PL332_00940	3	92	4473
PL332_00945	3	92	588
PL332_00950	1	1705	1080
PL332_00955	1	1705	558
PL332_00960	1	1705	432
PL332_00965	1	1705	1626
PL332_00970	1	1705	192
PL332_00975	1	1705	381
PL332_00980	1	1705	276
PL332_00985	1	1705	627
PL332_00990	1	1705	948
PL332_00995	1	1705	558
PL332_01000	1	1705	999
PL332_01005	1	1705	423
PL332_01010	1	1705	249
PL332_01015	1	1705	546
PL332_01020	1	1705	771
PL332_01025	1	1705	366
PL332_01030	1	1705	1032
PL332_01035	1	1705	771
PL332_01040	1	1705	441
PL332_01045	1	1705	858
PL332_01050	1	1705	1230
PL332_01055	1	1705	366
PL332_01065	1	1705	312
PL332_01070	1	1705	363
PL332_01075	1	1705	573
PL332_01080	1	1705	1116
PL332_01085	1	1705	642
PL332_01090	1	1705	561
PL332_01095	1	1705	792
PL332_01100	1	1705	1419
PL332_01105	1	1705	1212
PL332_01110	1	1705	1029
PL332_01115	1	1705	1341
PL332_01120	1	1705	972
PL332_01125	1	1705	759
PL332_01130	1	1705	306
PL332_01135	1	1705	429
PL332_01140	1	1705	417
