locus_tag	cluster_id	cluster_size	gene_length
SAV_RS00150	1	2000	1359
SAV_RS00155	1	2000	1131
SAV_RS00160	1	2000	243
SAV_RS00165	1	2000	1110
SAV_RS00170	1	2000	1932
SAV_RS00175	1	2000	2667
SAV_RS00180	1	2000	810
SAV_RS00185	1	2000	1512
SAV_RS00190	1	2000	1284
SAV_RS00195	1	2000	693
SAV_RS00200	1	2000	327
SAV_RS00205	1	2000	966
SAV_RS00210	1	2000	936
SAV_RS00215	1	2000	1965
SAV_RS00220	1	2000	444
SAV_RS00225	1	2000	1398
SAV_RS00230	1	2000	1281
SAV_RS00245	1	2000	699
SAV_RS00250	1	2000	1824
SAV_RS00255	1	2000	1332
SAV_RS00260	1	2000	786
SAV_RS00265	1	2000	798
SAV_RS00270	1	2000	2316
SAV_RS00275	2	148	477
SAV_RS00280	2	148	1254
SAV_RS00285	2	148	237
SAV_RS00290	2	148	672
SAV_RS00300	2	148	981
SAV_RS00305	2	148	1260
SAV_RS00310	2	148	402
SAV_RS00315	2	148	759
SAV_RS00320	2	148	672
SAV_RS14880	2	148	387
SAV_RS00330	2	148	741
SAV_RS00335	2	148	426
SAV_RS00340	2	148	2007
SAV_RS00345	2	148	1755
SAV_RS00350	2	148	369
SAV_RS15545	2	148	66
SAV_RS00355	2	148	1128
SAV_RS00365	2	148	1332
SAV_RS00370	2	148	1062
SAV_RS00375	2	148	258
SAV_RS00380	2	148	636
SAV_RS16025	2	148	57
SAV_RS00385	2	148	660
SAV_RS16030	2	148	57
SAV_RS00390	2	148	729
SAV_RS00395	2	148	780
SAV_RS00400	2	148	375
SAV_RS00405	2	148	1890
SAV_RS00410	2	148	1083
SAV_RS00415	2	148	315
SAV_RS00420	2	148	504
SAV_RS00425	2	148	309
SAV_RS00430	2	148	348
SAV_RS00435	3	28	1626
SAV_RS00440	3	28	1347
SAV_RS00445	3	28	1791
SAV_RS00450	3	28	294
SAV_RS00455	3	28	1044
SAV_RS14910	3	28	933
SAV_RS00470	3	28	693
SAV_RS00475	3	28	2652
SAV_RS00480	3	28	78
SAV_RS00485	1	2000	1674
SAV_RS00490	1	2000	2019
SAV_RS00495	1	2000	555
SAV_RS00500	1	2000	867
SAV_RS00505	1	2000	894
SAV_RS00510	1	2000	624
SAV_RS00520	2	148	1506
SAV_RS00525	2	148	132
SAV_RS00530	2	148	90
SAV_RS00535	2	148	1743
SAV_RS00540	2	148	753
SAV_RS00545	2	148	258
SAV_RS00550	2	148	1062
SAV_RS00555	2	148	1332
SAV_RS00560	2	148	1191
SAV_RS00565	2	148	984
SAV_RS00570	2	148	201
SAV_RS00575	2	148	294
SAV_RS15995	2	148	600
SAV_RS00585	2	148	3150
SAV_RS00590	2	148	480
SAV_RS00595	2	148	984
SAV_RS00600	2	148	768
SAV_RS00605	2	148	768
SAV_RS00610	2	148	768
SAV_RS00615	2	148	768
SAV_RS00620	2	148	768
SAV_RS00625	1	2000	2235
SAV_RS00630	1	2000	1176
SAV_RS00635	1	2000	1386
SAV_RS00640	1	2000	1659
SAV_RS00645	1	2000	1773
SAV_RS00650	1	2000	870
SAV_RS00655	1	2000	1377
SAV_RS00660	1	2000	471
SAV_RS00665	1	2000	1590
SAV_RS00670	1	2000	1350
SAV_RS00675	1	2000	750
SAV_RS00680	1	2000	996
SAV_RS00685	1	2000	993
SAV_RS00690	1	2000	990
SAV_RS00695	1	2000	978
SAV_RS00700	1	2000	1008
SAV_RS00705	1	2000	1752
SAV_RS00710	1	2000	1254
SAV_RS00715	1	2000	1734
SAV_RS00720	1	2000	1848
SAV_RS00725	1	2000	774
SAV_RS00730	1	2000	1200
SAV_RS00735	1	2000	762
SAV_RS00740	1	2000	624
SAV_RS00745	1	2000	774
SAV_RS00750	1	2000	120
SAV_RS00755	1	2000	978
SAV_RS00765	1	2000	690
SAV_RS00770	1	2000	1164
SAV_RS00775	1	2000	1236
SAV_RS00780	1	2000	1428
SAV_RS00785	1	2000	597
SAV_RS00790	1	2000	135
SAV_RS00795	1	2000	753
SAV_RS00800	1	2000	705
SAV_RS00805	1	2000	1350
SAV_RS00810	1	2000	660
SAV_RS15830	1	2000	1176
SAV_RS00815	1	2000	813
SAV_RS00825	1	2000	798
SAV_RS00830	1	2000	771
SAV_RS00835	1	2000	954
SAV_RS00840	1	2000	1542
SAV_RS00845	1	2000	1533
SAV_RS00850	1	2000	765
SAV_RS00855	1	2000	1173
SAV_RS00860	1	2000	2607
SAV_RS00865	1	2000	666
SAV_RS00870	1	2000	684
SAV_RS00875	1	2000	762
SAV_RS00880	1	2000	1821
SAV_RS00885	1	2000	1026
SAV_RS00890	1	2000	1107
SAV_RS00895	1	2000	1122
SAV_RS00900	1	2000	624
SAV_RS00905	1	2000	1107
SAV_RS00910	1	2000	1164
SAV_RS00915	1	2000	1203
SAV_RS00920	1	2000	1203
SAV_RS00925	1	2000	555
SAV_RS00930	1	2000	885
SAV_RS00935	1	2000	1260
SAV_RS00940	1	2000	1143
SAV_RS00945	1	2000	324
SAV_RS00950	1	2000	381
SAV_RS00955	1	2000	1485
SAV_RS00960	1	2000	957
SAV_RS00965	1	2000	201
SAV_RS00970	1	2000	510
SAV_RS00975	1	2000	738
SAV_RS00980	1	2000	969
SAV_RS00985	1	2000	759
SAV_RS00995	1	2000	1029
SAV_RS01000	1	2000	357
SAV_RS01005	1	2000	1023
SAV_RS01010	1	2000	1248
SAV_RS01015	1	2000	7173
SAV_RS01020	1	2000	642
SAV_RS01025	1	2000	477
SAV_RS01030	1	2000	762
SAV_RS01035	1	2000	1239
SAV_RS01040	1	2000	1029
SAV_RS01045	1	2000	1182
SAV_RS01050	1	2000	1347
SAV_RS01055	1	2000	555
SAV_RS01060	1	2000	1638
