GI_ID	contig	start	end	genes
GI-1	CP116442.1	433245	440419	PL332_02070,PL332_02075,PL332_02080,PL332_02085,PL332_02090,PL332_02095,PL332_02100,PL332_02105,PL332_02110,PL332_02115,PL332_02120,PL332_02125,PL332_02130,PL332_02135,PL332_02140,PL332_02145,PL332_02150
GI-2	CP116442.1	764507	779814	PL332_03745,PL332_03750,PL332_03755,PL332_03760,PL332_03765,PL332_03770,PL332_03775,PL332_03780,PL332_03785,PL332_03790,PL332_03795,PL332_03800,PL332_03805
GI-3	CP116442.1	1069644	1155077	PL332_05050,PL332_05055,PL332_05060,PL332_05065,PL332_05070,PL332_05075,PL332_05080,PL332_05085,PL332_05090,PL332_05095,PL332_05100,PL332_05105,PL332_05110,PL332_05115,PL332_05120,PL332_05125,PL332_05130,PL332_05135,PL332_05140,PL332_05145,PL332_05150,PL332_05155,PL332_05160,PL332_05165,PL332_05170,PL332_05175,PL332_05180,PL332_05185,PL332_05190,PL332_05195,PL332_05200,PL332_05205,PL332_05210,PL332_05215,PL332_05220,PL332_05225,PL332_05230,PL332_05235,PL332_05240,PL332_05245,PL332_05250,PL332_05255,PL332_05260,PL332_05265,PL332_05270,PL332_05275,PL332_05280,PL332_05285,PL332_05290,PL332_05295,PL332_05300,PL332_05305,PL332_05310,PL332_05315,PL332_05320,PL332_05325,PL332_05330,PL332_05335,PL332_05340,PL332_05345,PL332_05350,PL332_05355,PL332_05360,PL332_05365,PL332_05370,PL332_05375,PL332_05380,PL332_05385,PL332_05390,PL332_05395,PL332_05400
GI-4	CP116442.1	1328024	1341129	PL332_06255,PL332_06260,PL332_06265,PL332_06270,PL332_06275,PL332_06280,PL332_06285,PL332_06290,PL332_06295,PL332_06300,PL332_06305,PL332_06310,PL332_06315,PL332_06320
GI-5	CP116442.1	1358646	1379469	PL332_06415,PL332_06420,PL332_06425,PL332_06430,PL332_06435,PL332_06440,PL332_06445,PL332_06450,PL332_06455,PL332_06460,PL332_06465,PL332_06470,PL332_06475,PL332_06480,PL332_06485,PL332_06490,PL332_06495,PL332_06500,PL332_06505,PL332_06510,PL332_06515
GI-6	CP116442.1	1502842	1590010	PL332_07075,PL332_07080,PL332_07085,PL332_07090,PL332_07095,PL332_07100,PL332_07105,PL332_07110,PL332_07115,PL332_07120,PL332_07125,PL332_07130,PL332_07135,PL332_07140,PL332_07145,PL332_07150,PL332_07155,PL332_07160,PL332_07165,PL332_07170,PL332_07175,PL332_07180,PL332_07185,PL332_07190,PL332_07195,PL332_07200,PL332_07205,PL332_07210,PL332_07215,PL332_07220,PL332_07225,PL332_07230,PL332_07235,PL332_07240,PL332_07245,PL332_07250,PL332_07255,PL332_07260,PL332_07265,PL332_07270,PL332_07275,PL332_07280,PL332_07285,PL332_07290,PL332_07295,PL332_07300,PL332_07305,PL332_07310,PL332_07315,PL332_07320,PL332_07325,PL332_07330,PL332_07335,PL332_07340,PL332_07345,PL332_07350,PL332_07355,PL332_07360,PL332_07365,PL332_07370,PL332_07375,PL332_07380,PL332_07385,PL332_07390,PL332_07395,PL332_07400,PL332_07405,PL332_07410,PL332_07415,PL332_07420,PL332_07425,PL332_07430,PL332_07435,PL332_07440,PL332_07445,PL332_07450,PL332_07455,PL332_07460,PL332_07465,PL332_07470,PL332_07475,PL332_07480,PL332_07485,PL332_07490,PL332_07495,PL332_07500,PL332_07505,PL332_07510,PL332_07515,PL332_07520,PL332_07525,PL332_07530,PL332_07535,PL332_07540,PL332_07545,PL332_07550,PL332_07555,PL332_07560,PL332_07565,PL332_07570,PL332_07575,PL332_07580,PL332_07585
GI-7	CP116442.1	1718022	1786494	PL332_08225,PL332_08230,PL332_08235,PL332_08240,PL332_08245,PL332_08250,PL332_08255,PL332_08260,PL332_08265,PL332_08270,PL332_08275,PL332_08280,PL332_08285,PL332_08290,PL332_08295,PL332_08300,PL332_08305,PL332_08310,PL332_08315,PL332_08320,PL332_08325,PL332_08330,PL332_08335,PL332_08340,PL332_08345,PL332_08350,PL332_08355,PL332_08360,PL332_08365,PL332_08370,PL332_08375,PL332_08380,PL332_08385,PL332_08390,PL332_08395,PL332_08400,PL332_08405,PL332_08410,PL332_08415,PL332_08420,PL332_08425,PL332_08430,PL332_08435,PL332_08440,PL332_08445,PL332_08450,PL332_08455,PL332_08460,PL332_08465,PL332_08470,PL332_08475,PL332_08480,PL332_08485,PL332_08490,PL332_08495,PL332_08500,PL332_08505,PL332_08510,PL332_08515,PL332_08520,PL332_08525,PL332_08530,PL332_08535,PL332_08540
GI-8	CP116442.1	1817701	1921968	PL332_08680,PL332_08685,PL332_08690,PL332_08695,PL332_08700,PL332_08705,PL332_08710,PL332_08715,PL332_08720,PL332_08725,PL332_08730,PL332_08735,PL332_08740,PL332_08745,PL332_08750,PL332_08755,PL332_08760,PL332_08765,PL332_08770,PL332_08775,PL332_08780,PL332_08785,PL332_08790,PL332_08795,PL332_08800,PL332_08805,PL332_08810,PL332_08815,PL332_08820,PL332_08825,PL332_08830,PL332_08835,PL332_08840,PL332_08845,PL332_08850,PL332_08855,PL332_08860,PL332_08865,PL332_08870,PL332_08875,PL332_08880,PL332_08885,PL332_08890,PL332_08895,PL332_08900,PL332_08905,PL332_08910,PL332_08915,PL332_08920,PL332_08925,PL332_08930,PL332_08935,PL332_08940,PL332_08945,PL332_08950,PL332_08955,PL332_08960,PL332_08965,PL332_08970,PL332_08975,PL332_08980,PL332_08985,PL332_08990,PL332_08995,PL332_09000,PL332_09005,PL332_09010,PL332_09015,PL332_09020,PL332_09025,PL332_09030,PL332_09035,PL332_09040,PL332_09045,PL332_09050,PL332_09055,PL332_09060,PL332_09065,PL332_09070,PL332_09075,PL332_09080,PL332_09085,PL332_09090,PL332_09095,PL332_09100,PL332_09105,PL332_09110,PL332_09115,PL332_09120,PL332_09125,PL332_09130,PL332_09135,PL332_09140,PL332_09145,PL332_09150,PL332_09155,PL332_09160,PL332_09165
GI-9	CP116442.1	2132023	2152349	PL332_10170,PL332_10175,PL332_10180,PL332_10185,PL332_10190,PL332_10195,PL332_10200,PL332_10205,PL332_10210,PL332_10215,PL332_10220,PL332_10225,PL332_10230,PL332_10235,PL332_10240,PL332_10245,PL332_10250,PL332_10255,PL332_10260,PL332_10265,PL332_10270,PL332_10275,PL332_10280,PL332_10285,PL332_10290
GI-10	CP116442.1	2182304	2254491	PL332_10435,PL332_10440,PL332_10445,PL332_10450,PL332_10455,PL332_10460,PL332_10465,PL332_10470,PL332_10475,PL332_10480,PL332_10485,PL332_10490,PL332_10495,PL332_10500,PL332_10505,PL332_10510,PL332_10515,PL332_10520,PL332_10525,PL332_10530,PL332_10535,PL332_10540,PL332_10545,PL332_10550,PL332_10555,PL332_10560,PL332_10565,PL332_10570,PL332_10575,PL332_10580,PL332_10585,PL332_10590,PL332_10595,PL332_10600,PL332_10605,PL332_10610,PL332_10615,PL332_10620,PL332_10625,PL332_10630,PL332_10635,PL332_10640,PL332_10645,PL332_10650,PL332_10655,PL332_10660,PL332_10665,PL332_10670,PL332_10675,PL332_10680,PL332_10685,PL332_10690,PL332_10695,PL332_10700,PL332_10705,PL332_10710,PL332_10715,PL332_10720,PL332_10725,PL332_10730,PL332_10735,PL332_10740,PL332_10745,PL332_10750,PL332_10755,PL332_10760,PL332_10765,PL332_10770,PL332_10775,PL332_10780,PL332_10785,PL332_10790,PL332_10795,PL332_10800,PL332_10805,PL332_10810,PL332_10815,PL332_10820
