GI_ID	contig	start	end	genes
GI-1	NC_002758.2	33692	77056	SAV_RS00275,SAV_RS00280,SAV_RS00285,SAV_RS00290,SAV_RS00300,SAV_RS00305,SAV_RS00310,SAV_RS00315,SAV_RS00320,SAV_RS14880,SAV_RS00330,SAV_RS00335,SAV_RS00340,SAV_RS00345,SAV_RS00350,SAV_RS15545,SAV_RS00355,SAV_RS00365,SAV_RS00370,SAV_RS00375,SAV_RS00380,SAV_RS16025,SAV_RS00385,SAV_RS16030,SAV_RS00390,SAV_RS00395,SAV_RS00400,SAV_RS00405,SAV_RS00410,SAV_RS00415,SAV_RS00420,SAV_RS00425,SAV_RS00430,SAV_RS00435,SAV_RS00440,SAV_RS00445,SAV_RS00450,SAV_RS00455,SAV_RS14910,SAV_RS00470,SAV_RS00475,SAV_RS00480,SAV_RS00485
GI-2	NC_002758.2	85545	107910	SAV_RS00525,SAV_RS00530,SAV_RS00535,SAV_RS00540,SAV_RS00545,SAV_RS00550,SAV_RS00555,SAV_RS00560,SAV_RS00565,SAV_RS00570,SAV_RS00575,SAV_RS15995,SAV_RS00585,SAV_RS00590,SAV_RS00595,SAV_RS00600,SAV_RS00605,SAV_RS00610,SAV_RS00615,SAV_RS00620,SAV_RS00625,SAV_RS00630,SAV_RS00635,SAV_RS00640
GI-3	NC_002758.2	420966	475438	SAV_RS02095,SAV_RS02100,SAV_RS02105,SAV_RS02110,SAV_RS02115,SAV_RS02120,SAV_RS16035,SAV_RS02125,SAV_RS02130,SAV_RS02135,SAV_RS02140,SAV_RS02145,SAV_RS02150,SAV_RS02155,SAV_RS02160,SAV_RS02165,SAV_RS02170,SAV_RS02175,SAV_RS02180,SAV_RS14980,SAV_RS02185,SAV_RS14985,SAV_RS02190,SAV_RS02195,SAV_RS02200,SAV_RS02205,SAV_RS02210,SAV_RS02215,SAV_RS02220,SAV_RS02225,SAV_RS02230,SAV_RS14990,SAV_RS02235,SAV_RS02240,SAV_RS02245,SAV_RS02250,SAV_RS02255,SAV_RS02260,SAV_RS02265,SAV_RS02270,SAV_RS02275,SAV_RS02280,SAV_RS02285,SAV_RS02290,SAV_RS02295,SAV_RS02300,SAV_RS02305,SAV_RS02310,SAV_RS02315,SAV_RS02320,SAV_RS02325,SAV_RS02335,SAV_RS02340,SAV_RS02345,SAV_RS02350,SAV_RS02355
GI-4	NC_002758.2	475515	492473	SAV_RS02360,SAV_RS02365,SAV_RS02370,SAV_RS02375,SAV_RS02380,SAV_RS02385,SAV_RS02390,SAV_RS02395,SAV_RS02400,SAV_RS02405,SAV_RS02410,SAV_RS02415,SAV_RS02420,SAV_RS02425,SAV_RS02430,SAV_RS02435,SAV_RS02440,SAV_RS02445,SAV_RS02450
GI-5	NC_002758.2	856877	865007	SAV_RS04245,SAV_RS04250,SAV_RS04255,SAV_RS04260,SAV_RS04265,SAV_RS04270,SAV_RS04275,SAV_RS04280
GI-6	NC_002758.2	868461	886899	SAV_RS04295,SAV_RS04300,SAV_RS04305,SAV_RS04310,SAV_RS04315,SAV_RS04320,SAV_RS04325,SAV_RS04330,SAV_RS04335,SAV_RS04340,SAV_RS04345,SAV_RS04350,SAV_RS04355,SAV_RS04360,SAV_RS04365,SAV_RS04370,SAV_RS04375,SAV_RS04380,SAV_RS04385,SAV_RS15795,SAV_RS16040,SAV_RS04395,SAV_RS04400,SAV_RS04410,SAV_RS15865,SAV_RS04420,SAV_RS04425,SAV_RS04430,SAV_RS04435
GI-7	NC_002758.2	916041	1020363	SAV_RS04620,SAV_RS04625,SAV_RS04630,SAV_RS04635,SAV_RS04640,SAV_RS04645,SAV_RS04650,SAV_RS04655,SAV_RS04660,SAV_RS04665,SAV_RS04670,SAV_RS04675,SAV_RS04680,SAV_RS04685,SAV_RS04690,SAV_RS04695,SAV_RS04700,SAV_RS04705,SAV_RS04710,SAV_RS04715,SAV_RS04720,SAV_RS04725,SAV_RS04730,SAV_RS04735,SAV_RS04740,SAV_RS04745,SAV_RS04750,SAV_RS04755,SAV_RS04760,SAV_RS04765,SAV_RS04770,SAV_RS04775,SAV_RS04780,SAV_RS04785,SAV_RS04790,SAV_RS04795,SAV_RS04800,SAV_RS04805,SAV_RS04810,SAV_RS04815,SAV_RS04820,SAV_RS04825,SAV_RS04830,SAV_RS04835,SAV_RS04840,SAV_RS04845,SAV_RS04850,SAV_RS04855,SAV_RS04860,SAV_RS04865,SAV_RS04870,SAV_RS04875,SAV_RS04880,SAV_RS04885,SAV_RS04890,SAV_RS04895,SAV_RS04900,SAV_RS04905,SAV_RS04910,SAV_RS04915,SAV_RS04920,SAV_RS04925,SAV_RS04930,SAV_RS04935,SAV_RS04940,SAV_RS04945,SAV_RS04950,SAV_RS04955,SAV_RS04960,SAV_RS04965,SAV_RS04970,SAV_RS04975,SAV_RS04980,SAV_RS04985,SAV_RS04990,SAV_RS04995,SAV_RS05000,SAV_RS05005,SAV_RS05015,SAV_RS05020,SAV_RS05025,SAV_RS05030,SAV_RS05035,SAV_RS05040,SAV_RS05045,SAV_RS05050,SAV_RS05055,SAV_RS05060,SAV_RS05065,SAV_RS05070,SAV_RS05075,SAV_RS05080,SAV_RS05085,SAV_RS05090,SAV_RS05095,SAV_RS05100,SAV_RS05105,SAV_RS05110,SAV_RS05115,SAV_RS05120,SAV_RS05125,SAV_RS05130,SAV_RS05135,SAV_RS05140,SAV_RS05145,SAV_RS05150,SAV_RS05155,SAV_RS05160,SAV_RS05165,SAV_RS05170,SAV_RS05175,SAV_RS05180,SAV_RS05185,SAV_RS05190,SAV_RS05195,SAV_RS05200,SAV_RS05205,SAV_RS05210,SAV_RS05215,SAV_RS05220,SAV_RS05225,SAV_RS05230,SAV_RS05235,SAV_RS05240,SAV_RS05245,SAV_RS05250,SAV_RS05255,SAV_RS05260,SAV_RS05265,SAV_RS05270,SAV_RS05275
GI-8	NC_002758.2	1111435	1152056	SAV_RS05710,SAV_RS05715,SAV_RS05720,SAV_RS05725,SAV_RS05730,SAV_RS05735,SAV_RS05740,SAV_RS05745,SAV_RS05750,SAV_RS05755,SAV_RS05760,SAV_RS05765,SAV_RS05770,SAV_RS05775,SAV_RS05780,SAV_RS05785,SAV_RS05790,SAV_RS05795,SAV_RS05800,SAV_RS05805,SAV_RS05820,SAV_RS05825,SAV_RS05830,SAV_RS05835,SAV_RS05840,SAV_RS05845,SAV_RS05850,SAV_RS05855,SAV_RS05860,SAV_RS05865,SAV_RS05870,SAV_RS05875,SAV_RS05880,SAV_RS05885,SAV_RS05890,SAV_RS05895,SAV_RS05900,SAV_RS05905,SAV_RS05910
GI-9	NC_002758.2	1321527	1419355	SAV_RS06770,SAV_RS06775,SAV_RS06780,SAV_RS06785,SAV_RS06790,SAV_RS06795,SAV_RS06800,SAV_RS06805,SAV_RS06810,SAV_RS06815,SAV_RS06820,SAV_RS06825,SAV_RS06830,SAV_RS06835,SAV_RS06840,SAV_RS06845,SAV_RS06850,SAV_RS06855,SAV_RS06860,SAV_RS06865,SAV_RS06870,SAV_RS06875,SAV_RS06880,SAV_RS06885,SAV_RS06890,SAV_RS06895,SAV_RS06900,SAV_RS06905,SAV_RS06910,SAV_RS06915,SAV_RS06920,SAV_RS06925,SAV_RS06930,SAV_RS06935,SAV_RS06940,SAV_RS06945,SAV_RS06950,SAV_RS06955,SAV_RS06960,SAV_RS06965,SAV_RS06970,SAV_RS06975,SAV_RS06980,SAV_RS06985,SAV_RS06990,SAV_RS06995,SAV_RS07000,SAV_RS07005,SAV_RS07010,SAV_RS07015,SAV_RS07020,SAV_RS07025,SAV_RS07030,SAV_RS07035,SAV_RS07040,SAV_RS15970,SAV_RS07045,SAV_RS07050,SAV_RS07055,SAV_RS07060,SAV_RS07065,SAV_RS07075,SAV_RS15890,SAV_RS07090,SAV_RS07095,SAV_RS07100,SAV_RS07105,SAV_RS07110,SAV_RS07115,SAV_RS07120,SAV_RS07125,SAV_RS07130,SAV_RS07135,SAV_RS07140,SAV_RS07145,SAV_RS07150,SAV_RS07155,SAV_RS07160,SAV_RS07165,SAV_RS07170,SAV_RS07175,SAV_RS07180,SAV_RS07185,SAV_RS07190,SAV_RS07195,SAV_RS07200,SAV_RS07205,SAV_RS07215,SAV_RS07220,SAV_RS07225,SAV_RS07230,SAV_RS07235,SAV_RS07240,SAV_RS07245,SAV_RS07250,SAV_RS07255
GI-10	NC_002758.2	2094215	2148702	SAV_RS10700,SAV_RS10705,SAV_RS15765,SAV_RS10715,SAV_RS15335,SAV_RS10720,SAV_RS10725,SAV_RS10730,SAV_RS10735,SAV_RS10740,SAV_RS10745,SAV_RS10750,SAV_RS10755,SAV_RS10760,SAV_RS10765,SAV_RS10770,SAV_RS10775,SAV_RS10780,SAV_RS10785,SAV_RS10790,SAV_RS10795,SAV_RS10800,SAV_RS10805,SAV_RS10810,SAV_RS10815,SAV_RS10820,SAV_RS10825,SAV_RS10830,SAV_RS10835,SAV_RS10840,SAV_RS10845,SAV_RS10850,SAV_RS10855,SAV_RS10860,SAV_RS10865,SAV_RS15340,SAV_RS10870,SAV_RS10875,SAV_RS10880,SAV_RS10885,SAV_RS10890,SAV_RS10895,SAV_RS10900,SAV_RS10905,SAV_RS10910,SAV_RS10915,SAV_RS10920,SAV_RS10925,SAV_RS10930,SAV_RS10935,SAV_RS10940,SAV_RS10945,SAV_RS10950,SAV_RS10955,SAV_RS10960,SAV_RS10965,SAV_RS10970,SAV_RS10975,SAV_RS10980,SAV_RS10985,SAV_RS10990,SAV_RS10995,SAV_RS15920,SAV_RS11005,SAV_RS11010,SAV_RS11015,SAV_RS11020,SAV_RS11025,SAV_RS11030,SAV_RS11035,SAV_RS11040,SAV_RS11045,SAV_RS11050,SAV_RS11055,SAV_RS11060,SAV_RS11065,SAV_RS11070,SAV_RS11075
